Value
0.25
0.5
0
0.775
0.45
0.441666667
0.458333334
0
0.4
0.316666667
0
0.2
0.05
0.08125
0.375
0.166666667
0.083333334
0.55
0.15
0.504166667
0
0.1
0.221969697
0.251428572
0.55
0.2
0.242006803
0.4125
0
0.225
0.375
0.3125
0
0.54
0.25
0.375631313
0.73125
0
0
0.125
0
0
0
0.275
0.5
0.15
0.195
0.033333334
0.65
0.25
0.088888889
0.511180556
0.323333334
0.133333334
0.65
0
0.2375
0.234375
0.5
0.125
0
0
0.225
0
0
0.2625
1
0.420833334
0.410714286
0.233333333
0.432986112
0.343333334
0.485
0.7
0.7375
0.209722222
0.65
0.15
0.425
0.725
0.075
0.2
0
0
0
0.472916667
0
0.347222222
0.137926137
0
0
0.5
0.5
0.566666667
0.430059524
0
0.65
0
0.154166667
0.555555556
0.410416667
0.222222222
0.369642857
0.255
0.15
0.55
0.4525
0.38125
0.075
0.1075
0.361904762
0.291666667
0.366041667
0.291666667
0
0
0
0.475
1
0.581666667
0.20625
0.675
0
0
0.366666667
0.5
0
0
0
0.19375
0.352424243
0
0.6
0
0
0.178571429
0.216346154
0.375
0
0.533333334
0
0
0.370707071
0.2
0
0.333333334
0.375
0
0
0
0.45
0
0.25
0.6975
0.375
0.5
0.522222223
0.520833334
0.581666667
0.425
0.5
0.291666667
0.40125
0.25
-0.075
0.133333334
0
0.361666667
0.446428572
0.25
0.4
0.2
0
0.181904762
0.474305556
0
-0.1
0.7125
0.057142857
0
0
0
0.325
0.0625
0.1625
0.25
0.25
0.15
0.060714286
0.33125
0.153125
0.65
0.2
0.035714286
0.1125
0.3
0.6
0
0.398484849
0.648148148
0.033333333
0.166666667
0.75
0.125
0
0.775
0.272727273
0.530113637
0.519444445
0.371875
0.28
0.6625
0.244444445
0.275
0.125
0
0.5
0
0.559
0.5
0.35
0.2
0.25
0.1
0.1
0.1
0.257142857
0
0.1
0
0
0.4975
0.166666667
0
0.257142857
0
0.551190477
0.491666667
1
0.405208333
0.451851852
0.291666667
0.375
0.325
0.518333334
0.487142857
0.43452381
0
0
0.5
0
0.275
0.291666667
0.275
0.55625
0.775
0.291666667
0.194166667
0
0.4
0
0.198809524
0.6375
0
0.325
0.229761905
0
0
0
0.25
0.2
0
0
0.25
0.25
0.25
0.25
0.25
0.4375
0.125
0.180555556
0
0.2625
0.05
0.22
0.48125
0.366666667
0.85
0
0
0
0.385064935
0.183333333
0.220370371
0.64
0
0.180555556
0.5
0
0
0.405555556
0.35
0.125
0.125
0
0.11875
0
0.195
0
0.3
0.65
0
0.54
0
0
0.33
0.255208334
0.522619048
1
0
0.694444445
0
0.275925926
0.295454546
0.517857143
0.283333334
0.625
0.375
0.410714286
0
0.403125
0.712962963
0.583333333
0
0.355555556
0.16164966
0.05
0.235
0.3575
0.093333333
0.163888889
0.65
0
0.25
0
0.038461539
0.175
0
0.05
0.113888889
0
0
0.35
-0.008333333
0.083333333
0.25
0
0
0
0
0.5
0.85
0.05
0
0
0.356547619
0.420833333
0.492708334
1
0.65
0.4
0.65
0.458333334
0
0.55
0.845
0.375
0.158333333
0.208333334
0.6725
0
0.65
0.427777778
0.56
0.45
0.116666667
0.375
0.2
0.275
0
0.116666667
0.216666667
0.1
0.5
0.345
0.2
0.2
0.15
0
0.05
0.133333333
0
0
0
0.2625
0.5
0.066666667
0.116666667
0
0.155555556
0.133333333
0
0.35
0
0.175
0.141666667
0
0
0.225
0
0
0
0
0.12202381
-0.016666667
0
0.6
0.05
0.3375
0
0.291666667
0.1125
0
0.5
0.1
0
0.392976191
0.325
0.368055556
0.515
0
0.2125
0
0.6
0
0.25
0.5625
0.4875
0
0.159680135
0.283333333
0.15
0
0
0.441666667
0.154166667
0
0.1625
0
0.111111111
0.1
0.625
0
0
0.05
0
0
0.1375
0.222916667
0
0.115
0.108333334
0
0
0.055555556
0.325
0.191666667
0.241666667
0.455357143
0
0.410714286
0.045833333
0.145833333
0.3
0.2
0
0
0.7
0.7
0
0
0.5
0
0.329166667
0.1
0.441666667
0
0
0.033333334
0.318181818
0
0.583333333
0
0
0.8
0
0
0
0.916666667
0.025
0
0.325
0.127083334
0.2
0
0.5
0.5
0
0.139285715
0.583333333
0
0.6475
0.1875
0.25
0.302777778
0
0.5
0.2
0.75
0.3375
0.25
0
0.5
0.1
0.139285715
0.247380953
0.445833334
0.288131314
0.05
0
0
0.3375
0
0.495
0.5
0.575
0.3125
0
0.85
0
0
0.45
0.275
0
0.64375
0.5
0.5
0.2375
0.375
0.211111111
0.316666667
0.55
0.308333334
0.125
0
0
0
0.694444445
0
0
0.479107143
0
0.2
0
0.175
0
0.694444445
0.125
0.475
0.35
0.2
0
0.590972222
0.490476191
0.125
0.30334596
0.410714286
0
0.085416667
0.27
0.575
0.299479167
0.5
0.23
